# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
#                                                   Alberto Garcia, May 2012
#                                         Nick Papior, April 2013, July 2016
# --------------------------------------------------------------------------
# Bands for all spins
# E_F               =    -5.8514
# k_min, k_max      =     0.0000    0.0969
# E_min, E_max      =     -1e30       1e30
# Nbands, Nspin, Nk =   1812     2    31
# Using min_band, max_band =      1  1812
# Total number of bands =   1812
#
#        k            E[eV]
# --------------------------------------------------------------------------

      0.000000    -27.266500  1
      0.003229    -27.266500  1
      0.006459    -27.266500  1
      0.009688    -27.266500  1
      0.012918    -27.266500  1
      0.016147    -27.266500  1
      0.019376    -27.266500  1
      0.022606    -27.266500  1
      0.025835    -27.266500  1
      0.029065    -27.266500  1
      0.032294    -27.266500  1
      0.035523    -27.266500  1
      0.038753    -27.266500  1
      0.041982    -27.266500  1
      0.045212    -27.266500  1
      0.048441    -27.266500  1
      0.051670    -27.266500  1
      0.054900    -27.266500  1
      0.058129    -27.266500  1
      0.061359    -27.266500  1
      0.064588    -27.266500  1
      0.067817    -27.266500  1
      0.071047    -27.266500  1
      0.074276    -27.266500  1
      0.077506    -27.266500  1
      0.080735    -27.266500  1
      0.083965    -27.266500  1
      0.087194    -27.266500  1
      0.090423    -27.266500  1
      0.093653    -27.266500  1
      0.096882    -27.266500  1


      0.000000    -26.998800  1
      0.003229    -26.998800  1
      0.006459    -26.998800  1
      0.009688    -26.998800  1
      0.012918    -26.998800  1
      0.016147    -26.998800  1
      0.019376    -26.998800  1
      0.022606    -26.998800  1
      0.025835    -26.998800  1
      0.029065    -26.998800  1
      0.032294    -26.998800  1
      0.035523    -26.998800  1
      0.038753    -26.998800  1
      0.041982    -26.998800  1
      0.045212    -26.998800  1
      0.048441    -26.998800  1
      0.051670    -26.998800  1
      0.054900    -26.998800  1
      0.058129    -26.998800  1
      0.061359    -26.998800  1
      0.064588    -26.998800  1
      0.067817    -26.998800  1
      0.071047    -26.998800  1
      0.074276    -26.998800  1
      0.077506    -26.998800  1
      0.080735    -26.998800  1
      0.083965    -26.998800  1
      0.087194    -26.998800  1
      0.090423    -26.998800  1
      0.093653    -26.998800  1
      0.096882    -26.998800  1


      0.000000    -24.311400  1
      0.003229    -24.311300  1
      0.006459    -24.311100  1
      0.009688    -24.310600  1
      0.012918    -24.310100  1
      0.016147    -24.309300  1
      0.019376    -24.308400  1
      0.022606    -24.307300  1
      0.025835    -24.306100  1
      0.029065    -24.304700  1
      0.032294    -24.303100  1
      0.035523    -24.301400  1
      0.038753    -24.299500  1
      0.041982    -24.297400  1
      0.045212    -24.295100  1
      0.048441    -24.292700  1
      0.051670    -24.290200  1
      0.054900    -24.287400  1
      0.058129    -24.284500  1
      0.061359    -24.281500  1
      0.064588    -24.278200  1
      0.067817    -24.274800  1
      0.071047    -24.271300  1
      0.074276    -24.267600  1
      0.077506    -24.263700  1
      0.080735    -24.259700  1
      0.083965    -24.255500  1
      0.087194    -24.251200  1
      0.090423    -24.246900  1
      0.093653    -24.242800  1
      0.096882    -24.240600  1


      0.000000    -24.069000  1
      0.003229    -24.068900  1
      0.006459    -24.068700  1
      0.009688    -24.068300  1
      0.012918    -24.067800  1
      0.016147    -24.067400  1
      0.019376    -24.069800  1
      0.022606    -24.077800  1
      0.025835    -24.086200  1
      0.029065    -24.094700  1
      0.032294    -24.103000  1
      0.035523    -24.111200  1
      0.038753    -24.119300  1
      0.041982    -24.127100  1
      0.045212    -24.134900  1
      0.048441    -24.142500  1
      0.051670    -24.149900  1
      0.054900    -24.157100  1
      0.058129    -24.164200  1
      0.061359    -24.171100  1
      0.064588    -24.177800  1
      0.067817    -24.184400  1
      0.071047    -24.190800  1
      0.074276    -24.197000  1
      0.077506    -24.203100  1
      0.080735    -24.208900  1
      0.083965    -24.214600  1
      0.087194    -24.220100  1
      0.090423    -24.225200  1
      0.093653    -24.229800  1
      0.096882    -24.232200  1


      0.000000    -24.047700  1
      0.003229    -24.047600  1
      0.006459    -24.047600  1
      0.009688    -24.048100  1
      0.012918    -24.051900  1
      0.016147    -24.059500  1
      0.019376    -24.064800  1
      0.022606    -24.064400  1
      0.025835    -24.063300  1
      0.029065    -24.062000  1
      0.032294    -24.060400  1
      0.035523    -24.058700  1
      0.038753    -24.056800  1
      0.041982    -24.054700  1
      0.045212    -24.052500  1
      0.048441    -24.050100  1
      0.051670    -24.047500  1
      0.054900    -24.044800  1
      0.058129    -24.041900  1
      0.061359    -24.038800  1
      0.064588    -24.035600  1
      0.067817    -24.032200  1
      0.071047    -24.028600  1
      0.074276    -24.024900  1
      0.077506    -24.021000  1
      0.080735    -24.017000  1
      0.083965    -24.012800  1
      0.087194    -24.008500  1
      0.090423    -24.004000  1
      0.093653    -23.999700  1
      0.096882    -23.996900  1


      0.000000    -24.018400  1
      0.003229    -24.022900  1
      0.006459    -24.030900  1
      0.009688    -24.039000  1
      0.012918    -24.043700  1
      0.016147    -24.044100  1
      0.019376    -24.043600  1
      0.022606    -24.042600  1
      0.025835    -24.041400  1
      0.029065    -24.040100  1
      0.032294    -24.038500  1
      0.035523    -24.036800  1
      0.038753    -24.034900  1
      0.041982    -24.032900  1
      0.045212    -24.030700  1
      0.048441    -24.028300  1
      0.051670    -24.025700  1
      0.054900    -24.023000  1
      0.058129    -24.020100  1
      0.061359    -24.017100  1
      0.064588    -24.013900  1
      0.067817    -24.010500  1
      0.071047    -24.007000  1
      0.074276    -24.003300  1
      0.077506    -23.999400  1
      0.080735    -23.995500  1
